| Collection File | Total | Uploaded to R2 | % Status |
| mauritshuis-collection | 860 | 857 | 🟡 99.7% |
| kremlin-collection | 856 | 0 | 🔴 0.0% |
| tate-britain-artworks | 853 | 0 | 🔴 0.0% |
| nmwa-collection | 849 | 848 | 🟡 99.9% |
| castello-di-rivoli-collection | 820 | 776 | 🟡 94.6% |
| reina-sofia-on-display | 818 | 0 | 🔴 0.0% |
| smb-gemaeldegalerie-collection | 782 | 776 | 🟡 99.2% |
| getty-collection | 781 | 781 | 🟢 100.0% |
| hirschsprung-collection | 779 | 0 | 🔴 0.0% |
| hermitage-highlights | 752 | 0 | 🔴 0.0% |
| mamcs-strasbourg | 750 | 0 | 🔴 0.0% |
| smb-neue-nationalgalerie-collection | 730 | 730 | 🟢 100.0% |
| caixaforum-collection | 723 | 655 | 🟡 90.6% |
| reina-sofia-collection-part8 | 712 | 0 | 🔴 0.0% |
| smb-neues-museum-collection | 688 | 671 | 🟡 97.5% |
| museothyssen-collection-41.full | 682 | 682 | 🟢 100.0% |
| china-art-museum-collection | 670 | 0 | 🔴 0.0% |
| smb-altes-museum-collection | 658 | 658 | 🟢 100.0% |
| tate-modern-collection | 656 | 0 | 🔴 0.0% |
| njmuseum-collection-all | 646 | 0 | 🔴 0.0% |
| glyptoteket-collection | 625 | 0 | 🔴 0.0% |
| guggenheim-venice-collection | 612 | 0 | 🔴 0.0% |
| courtauld-gallery-collection | 611 | 0 | 🔴 0.0% |
| vam-permanent-exhibitions | 580 | 0 | 🔴 0.0% |
| huntington-collection | 511 | 0 | 🔴 0.0% |
| mori-collection | 504 | 504 | 🟢 100.0% |
| sweden-collection.backup | 497 | 0 | 🔴 0.0% |
| matisse-nice-collection | 486 | 0 | 🔴 0.0% |
| beyeler-collection | 433 | 0 | 🔴 0.0% |
| stedelijk-collection | 431 | 431 | 🟢 100.0% |
| psa-collection-all | 415 | 0 | 🔴 0.0% |
| jeonju-museum | 382 | 382 | 🟢 100.0% |
| sweden-collection.backup2 | 348 | 0 | 🔴 0.0% |
| gwangju-museum | 331 | 331 | 🟢 100.0% |
| shanghaimuseum-paintings-all | 329 | 0 | 🔴 0.0% |
| flv-collection | 318 | 304 | 🟡 95.6% |
| nam-collection | 308 | 0 | 🔴 0.0% |
| lacma-combined-onview | 287 | 0 | 🔴 0.0% |
| zjam-collection | 273 | 0 | 🔴 0.0% |
| shenzhenmuseum-l0303-all | 250 | 0 | 🔴 0.0% |
| mah-collection-1771392307793 | 240 | 0 | 🔴 0.0% |
| kimtschang-yeul-collection-all | 239 | 237 | 🟡 99.2% |
| hkmoa-collection | 238 | 0 | 🔴 0.0% |
| museo-archeologico-napoli-collection | 221 | 221 | 🟢 100.0% |
| toulouse-lautrec-collection | 212 | 212 | 🟢 100.0% |
