Museum,Country,Exhibition ID,JSON File,Items Count,R2 Ready Count,Status
"Tate Liverpool + RIBA North","United Kingdom","tm-perm-3","tm-perm-3.json",0,0,"❌ 수집안됨 (파일없음)"
"Tate Liverpool + RIBA North","United Kingdom","tl-t1","tl-t1.json",0,0,"❌ 수집안됨 (파일없음)"
"Tate Liverpool + RIBA North","United Kingdom","tl-t2","tl-t2.json",0,0,"❌ 수집안됨 (파일없음)"
"Tate Liverpool + RIBA North","United Kingdom","tl-t3","tl-t3.json",0,0,"❌ 수집안됨 (파일없음)"
"Tate Liverpool + RIBA North","United Kingdom","tl-t4","tl-t4.json",0,0,"❌ 수집안됨 (파일없음)"
"Tate Liverpool + RIBA North","United Kingdom","tl-t5","tl-t5.json",0,0,"❌ 수집안됨 (파일없음)"
"Tate Liverpool + RIBA North","United Kingdom","tl-t6","tl-t6.json",0,0,"❌ 수집안됨 (파일없음)"
"Tate Liverpool + RIBA North","United Kingdom","tl-t7","tl-t7.json",0,0,"❌ 수집안됨 (파일없음)"
"Tate Liverpool + RIBA North","United Kingdom","tl-t8","tl-t8.json",0,0,"❌ 수집안됨 (파일없음)"
"Tate Liverpool + RIBA North","United Kingdom","tl-t9","tl-t9.json",0,0,"❌ 수집안됨 (파일없음)"
"Tate Modern","United Kingdom","tm-perm-1","tate-modern-collection.json",656,368,"✅ 완료(정상표시)"
"Tate Modern","United Kingdom","tm-perm-3","tm-perm-3.json",0,0,"❌ 수집안됨 (파일없음)"
"Tate St Ives","United Kingdom","tm-perm-3","tm-perm-3.json",0,0,"❌ 수집안됨 (파일없음)"
"Tate St Ives","United Kingdom","tsi-perm-1","tsi-perm-1.json",0,0,"❌ 수집안됨 (파일없음)"
"Tate St Ives","United Kingdom","tsi-t1","tsi-t1.json",0,0,"❌ 수집안됨 (파일없음)"
"Tate St Ives","United Kingdom","tsi-t2","tsi-t2.json",0,0,"❌ 수집안됨 (파일없음)"
"Tate St Ives","United Kingdom","tsi-t3","tsi-t3.json",0,0,"❌ 수집안됨 (파일없음)"
"Tate St Ives","United Kingdom","tsi-t4","tsi-t4.json",0,0,"❌ 수집안됨 (파일없음)"
"Tate St Ives","United Kingdom","tsi-t5","tsi-t5.json",0,0,"❌ 수집안됨 (파일없음)"
"The Courtauld Gallery","United Kingdom","cg-1","courtauld-gallery-collection.json",611,610,"✅ 완료(정상표시)"
"The Wallace Collection","United Kingdom","wallace-permanent","wallace-collection.json",806,806,"✅ 완료(정상표시)"
"Victoria and Albert Museum","United Kingdom","vam-permanent","vam-permanent-exhibitions.json",580,580,"✅ 완료(정상표시)"
"Victoria and Albert Museum","United Kingdom","vam-posters","vam-posters-display.json",11653,11653,"✅ 완료(정상표시)"
"Victoria and Albert Museum","United Kingdom","vam-t1","vam-t1.json",0,0,"❌ 수집안됨 (파일없음)"
"Victoria and Albert Museum","United Kingdom","vam-t2","vam-t2.json",0,0,"❌ 수집안됨 (파일없음)"
"Victoria and Albert Museum","United Kingdom","vam-t3","vam-t3.json",0,0,"❌ 수집안됨 (파일없음)"
"Victoria and Albert Museum","United Kingdom","vam-t5","vam-t5.json",0,0,"❌ 수집안됨 (파일없음)"
"Victoria and Albert Museum","United Kingdom","vam-t6","vam-t6.json",0,0,"❌ 수집안됨 (파일없음)"
"Walker Art Gallery","United Kingdom","wag-collection","walker-art-gallery-collection.json",1342,1342,"✅ 완료(정상표시)"
"Cleveland Museum of Art","USA","cma-collection","cma-collection.json",5931,5907,"✅ 완료(정상표시)"
"Crystal Bridges Museum of American Art","USA","crystalbridges-collection","crystal-bridges-gac.json",72,72,"✅ 완료(정상표시)"
"Detroit Institute of Arts","USA","dia-collection","dia-collection.json",3776,3776,"✅ 완료(정상표시)"
"Fine Arts Museums of San Francisco","USA","famsf-collections","famsf-collections.json",10605,8557,"✅ 완료(정상표시)"
"Getty Museum","USA","getty-collection","getty-collection.json",781,781,"✅ 완료(정상표시)"
"High Museum of Art","USA","high-museum-collection","high-collection.json",3583,3526,"✅ 완료(정상표시)"
"Huntington Library","USA","huntington-collection","huntington-collection.json",511,0,"✅ 완료(정상표시)"
"Los Angeles County Museum of Art (LACMA)","USA","lacma-paintings","lacma-classification-22.json",1614,1612,"✅ 완료(정상표시)"
"National Gallery of Art","USA","nga-collection","nga-collection.json",16912,0,"🟠 변환 안됨 (R2=0)"
"National Museum of Asian Art","USA","si-asian-art-collection","si-asian-art.json",1524,1524,"✅ 완료(정상표시)"
"National Portrait Gallery","USA","si-npg-collection","si-npg.json",1828,1814,"✅ 완료(정상표시)"
"Philadelphia Museum of Art","USA","philadelphia-collection","philadelphia-collection.json",10937,10776,"✅ 완료(정상표시)"
"San Francisco Museum of Modern Art (SFMOMA)","USA","sfmoma-collection","sfmoma-collection.json",3169,2859,"🔄 잔여/부분완료"
"Smithsonian American Art Museum","USA","saam-paintings","saam-paintings-full.json",6426,6425,"✅ 완료(정상표시)"
"The Art Institute of Chicago","USA","aic-highlights","aic-collection.json",40404,40374,"✅ 완료(정상표시)"
"The Broad","USA","thebroad-collection","thebroad-collection.json",1870,1848,"✅ 완료(정상표시)"
"The Metropolitan Museum of Art","USA","met-ny-collection","met-ny-collection.json",1996,1993,"✅ 완료(정상표시)"
"The Museum of Modern Art","USA","moma-highlights","moma-collection.json",27849,27849,"✅ 완료(정상표시)"
"Whitney Museum of American Art","USA","whitney-collection","whitney-collection.json",27379,25538,"✅ 완료(정상표시)"
